name,pop2020,state,new_tests_per_million_per_day,GDP.millions.2019,GDP.millions.2020.counterfactual,total.income.millions.2019,personal.income2019,pop.2019.bea,total.income.millions.2020,personal.income2020,pop.2020.bea,PCE.millions.2019,PCE2019,GDP.millions.2019.2,GDP.millions.2020.2,total.income.millions.2019.2,total.income.millions.2020.2,PCE.millions.2019.2,PCE.millions.2020.2,personal.income2019.2,personal.income2020.2,PCE2019.2,PCE2020.2,employment2019,employment2020,GDP.percap.2019,GDP.percap.2019.2,GDP.percap.2020.counterfactual,GDP.percap.2020.2,us.median.income.2019,us.median.income.2020,us.personal.income.2019,us.personal.income.2020,median.income.2019.est,median.income.2020.est,median.income.2020.counterfactual,personal.income2020.counterfactual,daily.discount,weekly.discount,employment2019.rate,cost.fear,vsl.low,vsl.mid,vsl.high,cost.productivity,cost.medical,cost.learning.high,cost.learning.low,time.learning,cost.schools.direct,cost.work,cost.social,cost.mask,cost.test,cost.trace
Maryland,6177213,MD,22.183560428424858,419447.6,436644.9516,384074.3,62313,6163628,405454.6,65685,6172679,287343.8,46619.263849148585,420371.3,410931,384074.3,405454.6,280092.2,269486.2,62313,65680,45443,43658,3743604,3620521,68052.0628435071,68201.92587871948,70738.32149703556,66572.55301952362,35980,35860,56250,59763,39858.16426666667,39410.41781704399,41492.3490016,64867.833,0.9998884707156994,0.9992152697058329,0.6073702046911332,2354.634122303913,4470000,8310000.000000001,10630000,797.9297884923077,3045,2815.9293365166077,367.29513084999235,36,35.36916074851778,31.917191539692308,31.917191539692308,2.24,0.015528492299897402,0.0031387999999999997
Massachusetts,7029949,MA,32.17879364731102,588617.5,612750.8175,513710.4,73213,7016618,550459.5,78388,7022220,387570.3,55236.055318958504,589904.3,585150.3,513710.4,550459.5,376243.6,360537.9,73213,78685,53622,51342,4872989,4600345,83889.06165334923,84072.45484933055,87258.84656134385,83328.39187607338,35980,35860,56250,59763,46830.28871111111,47213.89655807105,48750.33054826666,76214.733,0.9998884707156994,0.9992152697058329,0.6944925603759532,2766.514659801909,4470000,8310000.000000001,10630000,937.5063566974358,3045,3473.5733150381106,453.0747802223623,36,43.62942328067192,37.50025426789743,37.50025426789743,2.24,0.02252515555311771,0.0031387999999999997
Michigan,10077325,MI,18.782934460152795,536975.6,558991.5996,495268.6,49142,10078236,537493.5,53388,10067664,417614.8,41437.29120850117,532217,520105.3,495268.6,537493.5,422231.1,411989.1,49142,53378,41895,40922,5713882,5388167,53280.71301366628,52808.54705128953,55523.46597979432,51660.97120444226,35980,35860,56250,59763,31433.407288888888,32028.764954905208,32722.176987733328,51156.82199999999,0.9998884707156994,0.9992152697058329,0.5669525897190738,1856.9388416262875,4470000,8310000.000000001,10630000,629.272634379487,3045,2210.2610495802737,288.29491951047055,36,27.76173298989716,25.170905375179487,25.170905375179487,2.24,0.013148054122106956,0.0031387999999999997
Minnesota,5706504,MN,20.895389582073257,383961.6,399704.02559999994,332916,58543,5686733,355211.2,62240,5707165,265957.6,46768.08283420374,383956.6,376814.4,332916,355211.2,261626.8,252088,58543,62210,46007,44170,3783623,3608149,67518.83726561455,67517.9580261637,70035.47743932407,66024.79514785361,35980,35860,56250,59763,37446.70471111111,37328.29007914596,38982.019604266665,60943.263,0.9998884707156994,0.9992152697058329,0.6653421217419563,2212.1763584169908,4470000,8310000.000000001,10630000,749.6542231589743,3045,2787.9507365269387,363.64574824264423,36,35.017738719662034,29.986168926358975,29.986168926358975,2.24,0.014626772707451281,0.0031387999999999997
Mississippi,2961288,MS,10.173000971757215,115441.7,120174.80969999998,117112.8,39445,2968981,126306.9,42716,2956870,96216.7,32407.314159302467,114234.4,115123.4,117112.8,126306.9,96481.6,96324.6,39445,42698,32497,32577,1607696,1573592,38882.5997876039,38475.96195462349,40642.574648192174,38934.2108378116,35980,35860,56250,59763,25230.77511111111,25620.37180195104,26265.236890666663,41062.244999999995,0.9998884707156994,0.9992152697058329,0.5414975710521556,1490.516312074171,4470000,8310000.000000001,10630000,505.1007094358974,3045,1617.88710618765,211.02875298099784,36,20.321287324096087,20.204028377435897,20.204028377435897,2.24,0.007121100680230051,0.0031387999999999997
Missouri,6154920,MO,15.06859637613589,334364.7,348073.6527,301030.7,49001,6143406,320698.2,52108,6154481,253347.6,41238.94790609639,332485.8,330249.9,301030.7,320698.2,251601.3,246982.5,49001,52112,40955,40131,3779850,3693351,54426.59983728896,54120.759721887174,56556.134091566775,53660.07304271473,35980,35860,56250,59763,31343.217422222224,31269.11835081907,32628.289336533333,51010.041,0.9998884707156994,0.9992152697058329,0.6152694449951704,1851.6108456825064,4470000,8310000.000000001,10630000,627.467102625641,3045,2251.3691840296774,293.6568500908275,36,28.278067045783388,25.09868410502564,25.09868410502564,2.24,0.010548017463295123,0.0031387999999999997
Montana,1084197,MT,17.7338717714397,52772.5,54936.17249999999,54083.5,50289,1075462,58769.6,54106,1086193,45316,42136.30979058302,51925.4,52355.8,54083.5,58769.6,45496.2,46022,50289,54062,42304,42370,686459,684333,49069.60915401939,48281.94766528245,50576.80587151638,48201.19444702737,35980,35860,56250,59763,32167.079466666666,32439.19013436407,33485.9297248,52350.848999999995,0.9998884707156994,0.9992152697058329,0.6382921944243497,1900.2807660767653,4470000,8310000.000000001,10630000,643.9601870153846,3045,2013.3459260392096,262.6103381790274,36,25.28840293575819,25.758407480615386,25.758407480615386,2.24,0.01241371024000779,0.0031387999999999997
Nebraska,1961489,NE,19.545946263763742,132741,138183.381,105922.2,54182,1954927,112629.7,57421,1961455,80837.8,41350.802357325876,131866.9,134580.8,105922.2,112629.7,80567.6,80058.2,54182,57387,41213,40816,1328812,1305987,67900.74514291326,67453.61847271024,70449.4270834661,68612.73901262073,35980,35860,56250,59763,34657.21528888889,34434.31253451132,36078.16111573333,56403.462,0.9998884707156994,0.9992152697058329,0.6797246137579562,2047.3863562125175,4470000,8310000.000000001,10630000,693.8107906871794,3045,2804.4291165918235,365.795102164151,36,35.22471354173305,27.752431627487177,27.752431627487177,2.24,0.013682162384634619,0.0031387999999999997
Nevada,3104624,NV,14.866632631919792,184343.9,191901.99989999997,161433.6,52602,3068943,172538.5,55406,3114071,132958.2,43323.77629692048,182186.3,172562.6,161433.6,172538.5,125722.2,124030.6,52602,55378,40966,39829,1884215,1770936,60067.554203515676,59364.51084298405,61624.15689944127,55413.82967825718,35980,35860,56250,59763,33646.577066666665,33228.83857905393,35026.0867264,54758.68199999999,0.9998884707156994,0.9992152697058329,0.6139622013181737,1987.6825718779453,4470000,8310000.000000001,10630000,673.5785908923076,3045,2453.1154765739116,319.97158390094506,36,30.812078449720634,26.943143635692305,26.943143635692305,2.24,0.010406642842343853,0.0031387999999999997
New Hampshire,1377518,NH,16.427536881503894,87472,91058.352,88822.8,64747,1371834,94440.8,68542,1377848,74220.4,54103.047453263294,87338.2,88337.7,88822.8,94440.8,71883,71131.4,64747,68505,52399,51625,890110,858502,63762.81678395491,63665.283117345105,66087.37103076682,64112.80489575047,35980,35860,56250,59763,41415.058844444444,41105.52181115406,43113.07625706666,67401.627,0.9998884707156994,0.9992152697058329,0.6488467263531885,2446.608179943373,4470000,8310000.000000001,10630000,829.097620328205,3045,2630.7857314170637,343.14596496744315,36,33.04368551538341,33.163904813128205,33.163904813128205,2.24,0.011499275817052726,0.0031387999999999997
New Jersey,9289031,NJ,17.832908160903557,641877.6,668194.5815999999,633651,68438,9258804,663544.1,71505,9279743,481553.8,52010.36764575641,637630.4,620085.9,633651,663544.1,457257.1,447693.8,68438,71567,49386,48244,5571414,5319600,69326.1894300819,68867.46927572935,72005.72058946028,66821.45184408662,35980,35860,56250,59763,43775.98648888889,42942.83452972575,45570.80193493333,71243.958,0.9998884707156994,0.9992152697058329,0.6017422984653309,2586.080754613566,4470000,8310000.000000001,10630000,876.3615756717949,3045,2866.3815696188994,373.87585690681306,36,36.00286029473014,35.0544630268718,35.0544630268718,2.24,0.012483035712632491,0.0031387999999999997
New Mexico,2117527,NM,19.870135933596256,103869.2,108127.8372,91853.6,43530,2110146,99018,46760,2117566,77913.1,36923.084942937596,102027.5,98790,91853.6,99018,75837.8,74388.6,43530,46742,35940,35129,1116979,1069680,49223.70300443666,48350.91979417538,51062.32211888555,46652.61909191968,35980,35860,56250,59763,27843.72266666667,28046.920669979754,28985.315296,45314.729999999996,0.9998884707156994,0.9992152697058329,0.5293373065181272,1644.8770456227326,4470000,8310000.000000001,10630000,557.4099095384615,3045,2032.673207424867,265.1312879249827,36,25.531161059442777,22.29639638153846,22.29639638153846,2.24,0.01390909515351738,0.0031387999999999997
New York,20201230,NY,25.74584478821561,1793261.3,1866785.0133,1362298.6,67366,20222325,1442624.6,71577,20154933,1067807.9,52803.41899361225,1787666,1740804.7,1362298.6,1442624.6,1010359.1,966027.5,67366,71743,49963,47930,12746559,11872381,88677.30589830794,88400.6166452176,92621.74244389699,86371.14794675824,35980,35860,56250,59763,43090.28764444444,43048.441008650836,44856.98943786666,70128.006,0.9998884707156994,0.9992152697058329,0.6303211425985884,2545.5728705587176,4470000,8310000.000000001,10630000,862.6344122666665,3045,3687.057824208976,480.92058576638823,36,46.310871221948496,34.505376490666656,34.505376490666656,2.24,0.018022091351750924,0.0031387999999999997
North Carolina,10439414,NC,14.9808271481735,593126.9,617445.1028999999,505470.2,48741,10370550,542726.5,51900,10457177,389094.9,37519.21547073202,594521,598915.9,505470.2,542726.5,406984.1,407610.3,48741,51938,39244,38979,6149574,6055314,57193.38897165531,57327.81771458602,59045.103941532216,57273.19141676573,35980,35860,56250,59763,31176.909866666665,31164.71194551813,32455.163171199994,50739.380999999994,0.9998884707156994,0.9992152697058329,0.5929843643779742,1841.7861723109945,4470000,8310000.000000001,10630000,624.1377532923076,3045,2350.4493299802243,306.580347388725,36,29.52255197076611,24.965510131692305,24.965510131692305,2.24,0.01048657900372145,0.0031387999999999997
North Dakota,779091,ND,40.3142512004567,60516.3,62997.4683,44346.9,57110,776516,47410.7,60864,778962,36504.1,47010.106681639525,59199.2,54422.9,44346.9,47410.7,34788.1,33820.5,57110,60821,44800,43417,581826,560682,77933.10118529432,76236.93523378784,80873.60911058563,69865.92414007359,35980,35860,56250,59763,36530.09422222222,36494.83894717467,38027.82808533333,59451.509999999995,0.9998884707156994,0.9992152697058329,0.7492775422528318,2158.0272932578505,4470000,8310000.000000001,10630000,731.3043862564101,3045,3219.391747286774,419.9206626895793,36,40.43680455529282,29.252175450256406,29.252175450256406,2.24,0.02821997584031969,0.0031387999999999997
Ohio,11799374,OH,15.255587418705364,703127.8,731956.0398,589835.8,50035,11788547,631330.7,53545,11790587,499203.3,42346.46559919556,697166.8,684382.5,589835.8,631330.7,474617.8,467691,50035,53514,40261,39666,7072285,6853595,59644.99272047692,59139.33243851002,62079.69457330665,58044.8199907265,35980,35860,56250,59763,32004.60977777778,32110.36996134732,33316.79877866666,52086.435,0.9998884707156994,0.9992152697058329,0.5999284729492108,1890.6828159369036,4470000,8310000.000000001,10630000,640.7076688205127,3045,2471.249380129707,322.33687566909225,36,31.039847286653327,25.62830675282051,25.62830675282051,2.24,0.010678911193093754,0.0031387999999999997
Oklahoma,3959346,OK,15.782264136834936,205262.6,213678.36659999998,191851.6,48646,3943796,200152.9,50518,3962031,140938.2,35736.686177479765,204192.5,190063.6,191851.6,200152.9,138817,138003.6,48646,50481,35199,34832,2309852,2263126,52046.96186111046,51775.624296997106,53931.523150626526,47971.25514666594,35980,35860,56250,59763,31116.143644444444,30290.458310325786,32391.905533866666,50640.486,0.9998884707156994,0.9992152697058329,0.5856925662483556,1838.196387809865,4470000,8310000.000000001,10630000,622.9212602666666,3045,2146.889479265325,280.02906251286856,36,26.965761575313262,24.91685041066667,24.91685041066667,2.24,0.011047584895784456,0.0031387999999999997
Oregon,4237291,OR,13.383550497504078,248939.8,259146.33179999996,222257,52718,4215976,241790.3,57005,4241544,184344.4,43725.201471735134,247233.1,247966.7,222257,241790.3,180302.5,179129.5,52718,56962,42766,42232,2578253,2493784,59046.778254904675,58641.960959929565,61097.169285524324,58461.423481637816,35980,35860,56250,59763,33720.775822222226,34179.296889379715,35103.32763093334,54879.437999999995,0.9998884707156994,0.9992152697058329,0.6115435666616698,1992.065887689851,4470000,8310000.000000001,10630000,675.0639929025642,3045,2432.137315789141,317.2353020594532,36,30.54858464276216,27.002559716102567,27.002559716102567,2.24,0.009368485348252855,0.0031387999999999997
Pennsylvania,13002689,PA,12.16262314741249,803078,836004.198,739891.8,56952,12991448,788281.5,60685,12989625,595321,45824.068263984125,799888.8,771613.2,739891.8,788281.5,592927,572692.2,56952,60663,45640,44088,7773246,7413333,61815.89611873904,61570.411550737066,64359.37896590548,59402.26911862352,35980,35860,56250,59763,36429.0304,36400.03313086693,37922.6206464,59287.032,0.9998884707156994,0.9992152697058329,0.5983356127815775,2152.056914824394,4470000,8310000.000000001,10630000,729.281166276923,3045,2561.9983549889293,334.173698476817,36,32.17968948295274,29.17124665107692,29.17124665107692,2.24,0.008513836203188742,0.0031387999999999997
